,0
genre_Documentaries,2.155544748709278
genre_Documentary,1.7347542330175223
genre_Horror,-1.1549253991137294
genre_Dramas,1.0476596737098305
type_Movie,-0.947853869722805
genre_Docuseries,0.859934780678459
type_TV Show,0.588833742142297
genre_Tv Dramas,0.5234598539561596
genre_Suspense,-0.46126384671320425
genre_Drama,0.4387796113778415
genre_Comedy,-0.43184225370667867
genre_Action,-0.4209118055962057
genre_International Tv Shows,0.41691699328098614
genre_Thrillers,-0.3996312626650907
platform_Netflix,-0.3878555009465579
